Factor_Name,Start_time,End_Time,Mono_median,Mono_std,Annualized_return,Annualized_volatility,Sharpe_ratio,Downside_Risk,Sortino_ratio,Max_drawdown,Calmar_Ratio
Own_Factor_Turnover_Volatility_deviation_20D,2010-01-01 00:00:00,2017-02-28 00:00:00,-0.9272727272727272,0.2528819821388497,0.1955596543968132,0.16860705605845008,1.1598545100569198,0.1474149966733167,1.3265926724550887,0.2573610743308737,0.7598649287008877
Own_Factor_ILLQ-1d,2010-01-01 00:00:00,2017-02-28 00:00:00,0.9878787878787878,0.1578275918837266,0.3244610166235746,0.2610787635856417,1.2427706189789032,0.20433547326564186,1.587883941236998,0.3975877570315095,0.8160739632580299
Own_Factor_Idiosyncratic_Volatility,2010-01-01 00:00:00,2017-02-28 00:00:00,-0.9030303030303028,0.28111596809531497,0.1898777982402597,0.15874102989685526,1.1961482066963791,0.09806338328748224,1.9362762315023807,0.15296919597329614,1.2412812725603048
Own_Factor_ADJ_Turnover_Volatility_20D,2010-01-01 00:00:00,2017-02-28 00:00:00,-1.0,0.220559234460347,0.4660768549884129,0.2975591283450653,1.5663335807595369,0.36341252895639703,1.2825007886404864,0.6248901442189855,0.7458540661910034
LZ_GPA_VAL_PE,2010-01-01 00:00:00,2017-02-28 00:00:00,0.7575757575757573,0.224230540386233,0.07144295137327861,0.20724661713862366,0.344724330653328,0.16181045054415602,0.44152247974726905,0.3014849674673821,0.23697019447912634
LZ_GPA_VAL_PB,2010-01-01 00:00:00,2017-02-28 00:00:00,-0.09090909090909087,0.4483542022663999,0.031104133384724175,0.2306648572251889,0.1348455666758046,0.1459053010610252,0.21318028309139234,0.3581931054138713,0.08683621464122025
LZ_GPA_VAL_PS,2010-01-01 00:00:00,2017-02-28 00:00:00,0.10303030303030304,0.5222171867156079,0.007019154794406957,0.19052514828446449,0.036841093459887904,0.10976272446833707,0.06394843812784322,0.355447207371464,0.019747390467106732
LZ_GPA_FIN_IND_QFA_YOYGR,2010-01-01 00:00:00,2017-02-28 00:00:00,0.9393939393939392,0.1566537178656668,0.08798038342426873,0.07088329296731559,1.2412005670339925,0.048306962772823966,1.821277479977769,0.08305530808465665,1.059298742647394
LZ_GPA_FIN_IND_YOYBPS,2010-01-01 00:00:00,2017-02-28 00:00:00,0.2,0.2210567085027951,0.016883080093140324,0.08991205751159402,0.18777325934247785,0.05737653639732997,0.2942505970772745,0.16796337479948775,0.10051643766562264
LZ_GPA_FIN_IND_QFA_YOYNETPROFIT,2010-01-01 00:00:00,2017-02-28 00:00:00,0.8909090909090909,0.10284529292918106,0.0887309851893876,0.07293643822221492,1.2165522111053948,0.036746715392380135,2.4146643922299247,0.05703566007407158,1.555710674237024
LZ_GPA_FIN_IND_CAPITALIZEDTODA,2010-01-01 00:00:00,2017-02-28 00:00:00,0.24848484848484845,0.4786197820526048,0.013869278283527242,0.1100052152171687,0.12607837052222448,0.054756278822855324,0.2532911034439797,0.2796764608434085,0.04959043832899716
LZ_GPA_FIN_IND_CASHRATIO,2010-01-01 00:00:00,2017-02-28 00:00:00,0.8424242424242423,0.4822956305200171,0.07280291549568596,0.20064384178290626,0.3628464987949028,0.11857138595981714,0.6140007127888196,0.27493658655904074,0.26479893566312257
LZ_GPA_DERI_Momentum_1M,2010-01-01 00:00:00,2017-02-28 00:00:00,-0.9757575757575756,0.21904421701361365,0.23423101952256964,0.17939013948718793,1.3057073270144732,0.1233841687141751,1.89838795336196,0.21112930914328146,1.1094197223162907
LZ_GPA_TURNOVER_TurnoverAvg_3M,2010-01-01 00:00:00,2017-02-28 00:00:00,-0.5030303030303029,0.42405894149053336,0.10271668498692477,0.20506429243102786,0.5008999068985786,0.1305828209829369,0.7866018226114646,0.28481230476226804,0.3606469357869284
Own_Factor_ADJ_ILLQ_1D,2010-01-01 00:00:00,2017-02-28 00:00:00,0.4666666666666666,0.4279413846990108,0.014234132446667047,0.16492264438514154,0.08630793242331404,0.1478876192865949,0.09624965575436296,0.5000841288436901,0.028463475694738893
LZ_GPA_VAL_TURN,2010-01-01 00:00:00,2017-02-28 00:00:00,-0.6606060606060605,0.2824833508913416,0.3346260649281185,0.2029121352074596,1.6491180509533998,0.13409092662001434,2.4955160901854216,0.17067556664879655,1.9605973573047333
Own_Factor_Volatility_90d,2010-01-01 00:00:00,2017-02-28 00:00:00,-0.3696969696969697,0.3909269289741061,0.06490123676678139,0.20454788736012164,0.31729116151915066,0.12482018585405882,0.5199578603629437,0.26760465302870073,0.2425265630931339
Own_Factor_DDA-20d,2010-01-01 00:00:00,2017-02-28 00:00:00,-0.9878787878787878,0.05779473990384256,0.588950615272056,0.23191977499728186,2.5394583764103715,0.18180371883490465,3.2394860734772988,0.27276645951014045,2.1591753485005043
Own_Factor_Skewness_250d,2010-01-01 00:00:00,2017-02-28 00:00:00,-0.9515151515151514,0.31249736078808793,0.0797754952756129,0.1342985720907462,0.5940159603611288,0.10321140038208937,0.7729329800805279,0.25574073456607915,0.3119389463355132
LZ_GPA_FIN_IND_OCFTODEBT,2010-01-01 00:00:00,2017-02-28 00:00:00,-0.2,0.3329305620429345,0.03950785057701145,0.07324250407378718,0.5394115217198171,0.04195848630129825,0.9415938004367193,0.1101771105296464,0.3585849219233309
Own_Factor_Return_Skew_250D,2010-01-01 00:00:00,2017-02-28 00:00:00,-0.91515151515151516,0.12798946128288857,0.13094719836763713,0.11350950759595192,1.1536231734328048,0.085508535284595774,1.531393303976136,0.18845192489535645,0.69485731408872298
